twa/tws;6;8;10;12;14;16;20
0;0;0;0;0;0;0;0
52;6.37;7.48;7.98;8.18;8.28;8.34;8.49
60;6.72;7.75;8.18;8.39;8.5;8.57;8.73
75;7.01;7.93;8.35;8.63;8.85;8.98;9.14
90;6.97;7.93;8.38;8.71;9.04;9.35;9.76
110;6.7;7.92;8.49;8.91;9.19;9.48;10.02
120;6.48;7.78;8.41;8.88;9.41;9.83;10.48
135;5.8;7.14;8.04;8.53;9.01;9.58;10.95
150;4.86;6.05;7.14;7.98;8.47;8.91;10.01
